Country,City,Year,AQI_Level,PM2_5,PM10,NO2,CO_Level,Pollution_Source,Air_Quality_Status
UAE,Ajman,2026,136,51.33,89.41,74.52,5.28,Vehicle Emissions,Poor
Australia,Brisbane,2021,91,32.23,62.65,62.76,3.41,Traffic Congestion,Moderate
USA,San Francisco,2019,78,35.71,66.89,24.55,2.29,Power Plants,Moderate
Canada,Toronto,2020,123,84.68,155.59,41.42,5.26,Burning Waste,Poor
UAE,Abu Dhabi,2021,217,102.23,188.97,121.82,9.4,Vehicle Emissions,Very Poor
UAE,Sharjah,2025,285,153.56,247.5,174.87,11.51,Traffic Congestion,Very Poor
Canada,Ottawa,2020,108,66.56,106.67,43.04,4.37,Burning Waste,Poor
Brazil,Fortaleza,2025,141,69.25,103.14,57.58,4.13,Power Plants,Poor
Germany,Frankfurt,2023,93,36.11,69.73,63.64,3.84,Vehicle Emissions,Moderate
UK,Birmingham,2021,35,18.95,42.16,19.56,1.38,Traffic Congestion,Good
Germany,Hamburg,2024,119,80.15,110.84,54.73,4.69,Burning Waste,Poor
Canada,Toronto,2022,77,47.26,111.07,31.68,2.12,Construction Dust,Moderate
Australia,Adelaide,2022,51,18.51,46.47,22.42,2.32,Vehicle Emissions,Moderate
UK,Birmingham,2026,136,77.61,112.87,61.48,5.45,Burning Waste,Poor
USA,New York,2020,65,35.63,82.71,30.65,2.16,Construction Dust,Moderate
Germany,Frankfurt,2021,133,83.58,107.94,79.04,5.85,Vehicle Emissions,Poor
Canada,Ottawa,2022,81,37.27,55.52,24.57,3.74,Burning Waste,Moderate
Germany,Hamburg,2018,162,102.07,140.82,55.41,4.67,Power Plants,Poor
UK,Manchester,2024,140,90.6,139.67,83.39,5.5,Vehicle Emissions,Poor
Japan,Nagoya,2025,88,43.25,64.35,55.33,3.53,Vehicle Emissions,Moderate
France,Marseille,2023,154,93.56,150.99,92.25,6.6,Traffic Congestion,Poor
Germany,Berlin,2026,100,41.9,91.85,34.82,3.13,Construction Dust,Moderate
USA,New York,2020,53,23.75,56.01,27.61,1.15,Natural Dust,Moderate
USA,San Francisco,2019,41,24.81,47.07,33.22,1.69,Traffic Congestion,Good
India,Bangalore,2022,255,158.75,336.6,102.69,8.09,Natural Dust,Very Poor
Germany,Hamburg,2026,85,53.37,96.62,43.55,3.92,Burning Waste,Moderate
France,Marseille,2018,101,61.56,84.93,48.92,2.74,Power Plants,Poor
Brazil,Fortaleza,2018,244,151.34,313.44,97.95,7.39,Construction Dust,Very Poor
UAE,Abu Dhabi,2020,157,74.61,100.04,101.66,7.05,Vehicle Emissions,Poor
France,Paris,2020,71,31.14,68.39,30.05,1.99,Natural Dust,Moderate
UAE,Ajman,2022,232,110.69,189.3,90.03,7.34,Construction Dust,Very Poor
UAE,Abu Dhabi,2021,139,66.97,140.89,51.96,3.99,Construction Dust,Poor
Japan,Nagoya,2023,97,56.57,87.28,58.89,3.92,Traffic Congestion,Moderate
India,Kolkata,2025,480,250.24,501.17,189.99,13.92,Construction Dust,Hazardous
France,Lyon,2025,149,82.38,99.7,98.66,5.96,Vehicle Emissions,Poor
France,Nice,2021,90,53.78,82.02,52.65,3.55,Traffic Congestion,Moderate
Japan,Osaka,2018,106,51.42,82.57,59.72,2.94,Industrial Pollution,Poor
Germany,Hamburg,2024,69,29.21,81.26,29.01,1.76,Construction Dust,Moderate
Germany,Cologne,2023,129,69.08,92.16,82.37,3.91,Industrial Pollution,Poor
Germany,Hamburg,2022,86,40.14,81.18,40.92,2.83,Natural Dust,Moderate
Australia,Perth,2021,91,51.72,79.15,26.4,2.3,Power Plants,Moderate
UAE,Ajman,2023,221,132.74,197.19,139.73,8.85,Traffic Congestion,Very Poor
Australia,Melbourne,2025,38,17.77,40.94,22.87,0.71,Natural Dust,Good
India,Chennai,2023,274,150.9,231.46,171.46,11.18,Traffic Congestion,Very Poor
Japan,Tokyo,2020,119,76.41,100.99,42.5,3.18,Power Plants,Poor
France,Paris,2026,131,88.39,114.04,51.88,4.02,Power Plants,Poor
UAE,Abu Dhabi,2020,160,58.13,93.8,102.05,6.46,Traffic Congestion,Poor
Australia,Melbourne,2021,23,13.8,35.56,9.51,0.56,Natural Dust,Good
Australia,Perth,2022,82,47.4,83.76,35.89,3.27,Burning Waste,Moderate
Canada,Ottawa,2019,44,21.38,43.35,36.2,2.29,Vehicle Emissions,Good
Australia,Adelaide,2019,123,79.5,130.63,77.27,3.27,Industrial Pollution,Poor
Brazil,Brasilia,2023,211,103.33,125.25,93.72,8.84,Burning Waste,Very Poor
France,Lyon,2019,102,53.82,105.45,51.36,3.49,Industrial Pollution,Poor
Brazil,Sao Paulo,2018,231,120.86,215.6,136.46,10.14,Traffic Congestion,Very Poor
France,Lyon,2025,84,45.03,75.09,55.84,4.02,Vehicle Emissions,Moderate
Japan,Kyoto,2018,149,76.85,111.13,81.64,6.58,Traffic Congestion,Poor
France,Paris,2023,108,54.16,124.18,35.42,2.82,Construction Dust,Poor
Brazil,Sao Paulo,2018,234,143.32,245.46,142.82,9.37,Traffic Congestion,Very Poor
France,Lyon,2025,66,23.71,46.96,20.39,1.74,Natural Dust,Moderate
Japan,Nagoya,2022,97,56.36,90.33,43.28,3.62,Burning Waste,Moderate
Japan,Kyoto,2020,126,58.56,93.72,67.29,5.39,Traffic Congestion,Poor
India,Kolkata,2022,265,123.21,171.77,160.74,11.61,Vehicle Emissions,Very Poor
France,Toulouse,2018,93,59.4,137.73,36.3,2.35,Natural Dust,Moderate
Canada,Calgary,2018,88,51.35,98.5,41.6,3.33,Burning Waste,Moderate
Germany,Munich,2021,81,41.79,82.27,39.64,3.85,Traffic Congestion,Moderate
USA,Houston,2026,105,72.59,111.8,49.7,3.65,Power Plants,Poor
Japan,Nagoya,2026,169,74.65,124.45,107.82,7.33,Traffic Congestion,Poor
UK,Birmingham,2018,161,90.87,122.61,65.78,6.56,Burning Waste,Poor
Germany,Munich,2020,108,52.65,104.15,50.04,3.54,Construction Dust,Poor
UAE,Ajman,2021,269,155.02,275.16,104.23,8.4,Construction Dust,Very Poor
France,Lyon,2019,79,49.57,87.99,47.05,2.27,Industrial Pollution,Moderate
Brazil,Sao Paulo,2024,202,137.07,176.67,71.11,8.85,Burning Waste,Very Poor
USA,Chicago,2020,164,70.94,95.03,88.58,6.71,Traffic Congestion,Poor
UK,Manchester,2018,56,39.62,73.69,12.55,1.44,Power Plants,Moderate
Germany,Munich,2018,135,74.78,120.74,84.99,5.5,Traffic Congestion,Poor
France,Marseille,2020,78,34.76,74.49,24.19,1.99,Construction Dust,Moderate
India,Mumbai,2023,495,271.48,415.01,220.0,14.81,Industrial Pollution,Hazardous
UAE,Al Ain,2021,172,80.31,98.65,96.95,6.86,Traffic Congestion,Poor
USA,San Francisco,2018,151,106.58,128.18,64.81,4.08,Power Plants,Poor
Canada,Toronto,2024,103,55.34,67.58,33.77,2.76,Power Plants,Poor
India,Mumbai,2019,366,189.0,290.02,212.59,15.15,Traffic Congestion,Hazardous
UK,Glasgow,2022,119,61.42,84.09,39.91,3.17,Power Plants,Poor
USA,Los Angeles,2025,143,79.82,121.78,81.27,6.16,Vehicle Emissions,Poor
India,Chennai,2024,464,211.41,457.19,195.36,13.91,Construction Dust,Hazardous
UAE,Abu Dhabi,2025,225,137.06,205.3,130.04,9.37,Vehicle Emissions,Very Poor
Canada,Ottawa,2023,97,55.87,92.03,61.26,4.52,Vehicle Emissions,Moderate
India,Mumbai,2024,325,192.88,371.67,120.72,9.37,Construction Dust,Hazardous
Australia,Perth,2026,44,28.13,52.94,13.13,1.44,Burning Waste,Good
Canada,Toronto,2023,26,11.76,30.3,10.64,1.15,Natural Dust,Good
UK,Glasgow,2026,61,33.12,65.08,39.83,2.29,Industrial Pollution,Moderate
UAE,Al Ain,2019,230,144.21,179.91,143.34,9.89,Traffic Congestion,Very Poor
France,Lyon,2019,46,25.27,54.65,11.82,1.09,Natural Dust,Good
Brazil,Salvador,2019,160,61.83,152.84,57.23,5.19,Natural Dust,Poor
Brazil,Rio de Janeiro,2023,124,66.06,149.71,55.23,3.24,Natural Dust,Poor
Brazil,Sao Paulo,2019,135,64.81,113.82,60.36,4.15,Natural Dust,Poor
USA,Los Angeles,2020,38,15.59,42.17,17.68,1.2,Construction Dust,Good
UK,Birmingham,2025,91,52.42,109.62,36.8,2.37,Natural Dust,Moderate
UAE,Ajman,2025,341,217.34,307.52,204.53,10.09,Industrial Pollution,Hazardous
Canada,Toronto,2021,74,33.63,61.17,38.02,2.93,Traffic Congestion,Moderate
USA,Chicago,2026,71,42.7,70.52,27.73,2.99,Burning Waste,Moderate
UK,Birmingham,2025,70,34.42,71.29,34.31,2.16,Construction Dust,Moderate
France,Paris,2018,57,26.81,63.85,15.69,1.29,Natural Dust,Moderate
Australia,Brisbane,2025,79,56.92,76.54,24.88,2.59,Power Plants,Moderate
UAE,Abu Dhabi,2018,166,70.43,87.65,90.15,6.63,Traffic Congestion,Poor
Brazil,Sao Paulo,2021,171,110.24,201.04,72.49,5.37,Construction Dust,Poor
India,Kolkata,2023,458,302.5,448.24,185.71,18.93,Burning Waste,Hazardous
UAE,Abu Dhabi,2024,169,74.3,131.17,76.58,5.32,Natural Dust,Poor
Japan,Osaka,2021,137,83.09,118.72,87.1,5.53,Vehicle Emissions,Poor
UK,London,2025,105,54.61,97.96,46.77,2.9,Construction Dust,Poor
Germany,Munich,2025,121,43.14,83.13,64.76,4.99,Traffic Congestion,Poor
France,Lyon,2026,92,43.92,72.92,54.48,4.19,Traffic Congestion,Moderate
Australia,Melbourne,2023,96,61.94,104.43,31.52,3.11,Power Plants,Moderate
France,Nice,2021,65,39.61,72.05,46.68,2.69,Traffic Congestion,Moderate
UAE,Sharjah,2019,324,170.68,317.29,137.91,9.32,Construction Dust,Hazardous
Germany,Berlin,2024,43,18.83,33.25,35.03,1.94,Vehicle Emissions,Good
Japan,Kyoto,2020,98,48.83,115.08,35.52,3.26,Construction Dust,Moderate
Canada,Ottawa,2020,65,36.99,75.66,32.44,2.41,Power Plants,Moderate
India,Chennai,2020,401,192.62,282.59,164.71,16.62,Burning Waste,Hazardous
Germany,Munich,2021,167,89.8,132.39,64.37,5.11,Power Plants,Poor
UK,Birmingham,2019,124,68.44,94.53,50.98,5.08,Burning Waste,Poor
Brazil,Salvador,2022,119,60.48,87.91,55.13,4.04,Power Plants,Poor
Japan,Kyoto,2020,81,51.32,84.6,54.39,2.03,Industrial Pollution,Moderate
India,Kolkata,2022,247,119.45,225.39,102.04,7.6,Construction Dust,Very Poor
Australia,Adelaide,2024,72,32.19,67.14,34.27,3.02,Traffic Congestion,Moderate
Brazil,Rio de Janeiro,2026,228,148.05,318.74,88.84,6.95,Construction Dust,Very Poor
UAE,Abu Dhabi,2019,268,138.69,165.67,170.15,11.23,Vehicle Emissions,Very Poor
Germany,Munich,2026,131,97.84,132.82,69.52,4.09,Industrial Pollution,Poor
India,Delhi,2023,495,300.1,463.81,220.0,20.61,Vehicle Emissions,Hazardous
USA,San Francisco,2023,36,18.18,41.73,24.32,1.28,Construction Dust,Good
Canada,Vancouver,2020,64,32.46,65.57,45.92,3.12,Vehicle Emissions,Moderate
Canada,Ottawa,2026,47,29.83,53.39,18.32,2.15,Burning Waste,Good
Japan,Osaka,2021,161,83.0,114.7,96.19,4.79,Industrial Pollution,Poor
Australia,Brisbane,2022,39,17.94,28.07,18.65,1.24,Traffic Congestion,Good
Japan,Nagoya,2020,126,93.76,151.18,57.17,4.27,Power Plants,Poor
USA,Houston,2022,56,35.05,55.62,21.34,2.01,Burning Waste,Moderate
UK,London,2025,69,26.26,51.8,18.3,1.66,Natural Dust,Moderate
Australia,Perth,2025,67,30.66,58.1,28.45,2.43,Power Plants,Moderate
France,Nice,2025,128,75.23,134.36,76.9,5.16,Vehicle Emissions,Poor
UK,Birmingham,2023,128,61.11,143.35,56.86,3.56,Construction Dust,Poor
Australia,Adelaide,2018,52,37.82,64.61,22.86,1.87,Burning Waste,Moderate
Australia,Sydney,2023,84,51.83,83.14,57.44,2.75,Industrial Pollution,Moderate
USA,San Francisco,2024,95,56.58,80.02,34.36,2.96,Power Plants,Moderate
UAE,Abu Dhabi,2026,297,126.6,237.63,117.8,9.18,Natural Dust,Very Poor
USA,Houston,2025,127,82.95,106.7,57.7,4.94,Burning Waste,Poor
Australia,Brisbane,2025,31,12.98,31.2,13.88,1.34,Traffic Congestion,Good
India,Kolkata,2024,217,113.2,174.48,133.99,8.8,Traffic Congestion,Very Poor
UK,Birmingham,2019,109,59.66,135.23,45.65,3.19,Construction Dust,Poor
USA,Los Angeles,2018,59,39.96,67.92,38.15,1.42,Industrial Pollution,Moderate
UAE,Dubai,2019,294,205.7,321.18,185.77,9.26,Industrial Pollution,Very Poor
Germany,Cologne,2023,86,63.09,98.01,40.21,2.91,Power Plants,Moderate
Japan,Nagoya,2019,64,34.0,70.15,25.26,2.86,Burning Waste,Moderate
Australia,Perth,2021,67,48.28,95.99,30.48,3.08,Burning Waste,Moderate
France,Lyon,2020,104,71.36,117.33,57.72,3.04,Industrial Pollution,Poor
Germany,Frankfurt,2023,68,34.13,66.16,44.46,2.69,Traffic Congestion,Moderate
Canada,Toronto,2025,33,18.17,28.54,26.41,1.57,Vehicle Emissions,Good
Brazil,Rio de Janeiro,2023,178,122.93,212.18,100.68,5.06,Industrial Pollution,Poor
UAE,Dubai,2019,240,124.46,255.87,90.87,7.58,Construction Dust,Very Poor
France,Nice,2022,108,61.93,113.24,41.38,4.68,Burning Waste,Poor
Brazil,Rio de Janeiro,2023,194,113.31,159.23,122.75,7.74,Traffic Congestion,Poor
UAE,Dubai,2026,372,209.18,305.19,147.71,10.78,Power Plants,Hazardous
India,Kolkata,2023,265,126.38,174.31,104.73,11.19,Burning Waste,Very Poor
Japan,Nagoya,2022,163,79.45,99.36,88.44,6.95,Traffic Congestion,Poor
Germany,Frankfurt,2018,145,74.85,131.86,96.6,4.82,Industrial Pollution,Poor
UK,London,2022,40,17.11,41.15,19.19,1.1,Construction Dust,Good
UAE,Al Ain,2022,285,119.44,197.06,170.84,12.42,Vehicle Emissions,Very Poor
UK,Leeds,2023,45,17.28,31.75,35.3,1.53,Traffic Congestion,Good
Japan,Kyoto,2024,138,53.16,75.46,79.61,5.66,Traffic Congestion,Poor
Australia,Brisbane,2021,50,35.03,62.44,20.75,2.17,Burning Waste,Good
Canada,Montreal,2024,73,43.72,80.35,47.67,2.36,Industrial Pollution,Moderate
Germany,Berlin,2022,24,12.45,38.35,16.62,1.1,Natural Dust,Good
Japan,Kyoto,2023,183,83.98,128.07,105.77,5.36,Industrial Pollution,Poor
Japan,Yokohama,2021,164,73.89,108.12,94.23,5.22,Industrial Pollution,Poor
India,Chennai,2025,402,165.45,300.25,160.2,12.23,Construction Dust,Hazardous
Brazil,Brasilia,2026,243,144.69,206.33,154.82,7.19,Industrial Pollution,Very Poor
Canada,Ottawa,2019,82,31.21,53.79,55.44,3.52,Traffic Congestion,Moderate
Germany,Munich,2021,101,68.88,106.99,54.54,3.21,Industrial Pollution,Poor
Australia,Melbourne,2025,82,47.29,97.16,40.58,2.88,Industrial Pollution,Moderate
Australia,Brisbane,2025,97,53.93,83.6,35.78,4.48,Burning Waste,Moderate
USA,San Francisco,2026,111,54.92,78.59,72.33,2.98,Industrial Pollution,Poor
Japan,Osaka,2020,73,32.57,78.26,26.12,2.17,Construction Dust,Moderate
UAE,Sharjah,2018,243,134.87,261.24,105.36,6.87,Natural Dust,Very Poor
India,Chennai,2026,453,273.02,446.93,174.94,18.62,Burning Waste,Hazardous
Canada,Montreal,2018,36,18.36,32.1,14.9,1.61,Traffic Congestion,Good
Australia,Adelaide,2020,41,25.24,71.92,16.41,1.0,Natural Dust,Good
Germany,Munich,2020,112,71.56,132.85,62.37,3.65,Industrial Pollution,Poor
USA,Chicago,2026,139,67.55,100.22,75.98,6.06,Vehicle Emissions,Poor
Germany,Munich,2018,127,52.86,103.79,42.9,4.21,Natural Dust,Poor
India,Bangalore,2024,424,200.72,355.2,171.71,13.05,Construction Dust,Hazardous
UAE,Dubai,2019,238,106.22,134.27,141.93,10.32,Vehicle Emissions,Very Poor
USA,Los Angeles,2024,106,38.78,79.24,48.82,3.21,Construction Dust,Poor
USA,Los Angeles,2018,104,40.47,77.25,59.22,4.14,Traffic Congestion,Poor
Brazil,Salvador,2025,193,77.79,96.14,114.71,8.39,Vehicle Emissions,Poor
Canada,Vancouver,2019,69,33.12,56.09,40.5,1.7,Industrial Pollution,Moderate
USA,San Francisco,2020,148,93.86,150.34,81.56,6.59,Vehicle Emissions,Poor
Brazil,Brasilia,2025,224,130.88,204.13,137.58,9.24,Traffic Congestion,Very Poor
Brazil,Sao Paulo,2020,215,88.27,185.83,85.12,5.98,Natural Dust,Very Poor
India,Chennai,2018,176,84.6,113.98,102.62,7.69,Vehicle Emissions,Poor
UK,Leeds,2026,78,35.01,79.74,23.94,2.66,Construction Dust,Moderate
Germany,Cologne,2025,122,55.82,79.76,83.05,3.29,Industrial Pollution,Poor
UAE,Al Ain,2021,274,167.8,328.56,110.37,8.07,Construction Dust,Very Poor
France,Paris,2025,117,80.23,121.75,61.63,3.95,Industrial Pollution,Poor
Germany,Hamburg,2022,79,39.25,95.11,36.34,2.25,Natural Dust,Moderate
USA,Los Angeles,2020,106,72.51,113.97,49.6,3.22,Power Plants,Poor
UAE,Al Ain,2018,336,245.56,390.47,124.9,14.14,Burning Waste,Hazardous
Australia,Melbourne,2022,64,31.97,84.14,30.41,2.03,Natural Dust,Moderate
UK,Birmingham,2023,74,28.97,53.65,38.98,3.39,Traffic Congestion,Moderate
Australia,Adelaide,2021,9,3.86,12.6,8.68,0.41,Natural Dust,Good
Australia,Perth,2024,64,43.94,88.6,32.66,3.18,Burning Waste,Moderate
Canada,Vancouver,2020,82,33.84,77.45,32.93,2.57,Construction Dust,Moderate
Germany,Frankfurt,2024,91,36.64,96.68,36.32,2.5,Natural Dust,Moderate
France,Marseille,2018,103,68.63,104.78,53.42,3.3,Industrial Pollution,Poor
India,Chennai,2024,331,212.3,281.84,195.78,13.55,Vehicle Emissions,Hazardous
France,Paris,2018,72,40.39,95.43,38.73,2.25,Natural Dust,Moderate
Australia,Melbourne,2018,47,35.13,64.4,26.92,1.89,Burning Waste,Good
USA,Houston,2019,104,53.67,128.15,40.15,3.55,Natural Dust,Poor
UK,Manchester,2019,111,54.47,124.87,40.01,3.16,Construction Dust,Poor
Japan,Kyoto,2021,65,39.2,92.94,35.6,2.35,Construction Dust,Moderate
France,Paris,2018,123,78.49,165.81,45.47,3.71,Construction Dust,Poor
Australia,Sydney,2021,90,53.88,89.39,51.79,3.12,Industrial Pollution,Moderate
UK,Birmingham,2019,60,25.87,55.06,35.49,2.26,Traffic Congestion,Moderate
UAE,Al Ain,2021,292,149.21,239.12,183.39,12.66,Traffic Congestion,Very Poor
Germany,Hamburg,2021,68,33.95,81.11,23.69,2.05,Natural Dust,Moderate
Brazil,Brasilia,2026,99,58.65,137.1,45.95,3.02,Construction Dust,Moderate
Canada,Toronto,2026,78,38.09,56.92,40.32,2.68,Power Plants,Moderate
UK,Glasgow,2018,82,50.77,94.78,46.49,3.04,Vehicle Emissions,Moderate
USA,San Francisco,2022,68,35.7,50.22,48.47,2.88,Traffic Congestion,Moderate
USA,Chicago,2024,105,43.86,78.83,49.43,2.67,Construction Dust,Poor
UK,Manchester,2021,106,56.79,94.77,69.46,4.25,Traffic Congestion,Poor
USA,San Francisco,2022,160,101.95,154.8,91.28,4.99,Industrial Pollution,Poor
Germany,Frankfurt,2019,99,44.78,79.91,64.05,4.26,Vehicle Emissions,Moderate
USA,San Francisco,2020,115,67.87,122.67,67.17,4.94,Vehicle Emissions,Poor
France,Lyon,2024,107,51.78,76.28,45.79,4.41,Burning Waste,Poor
Brazil,Rio de Janeiro,2024,268,144.01,304.68,100.45,8.15,Construction Dust,Very Poor
USA,San Francisco,2021,112,49.89,93.01,54.51,3.67,Construction Dust,Poor
Brazil,Salvador,2018,114,48.34,120.74,36.75,3.01,Natural Dust,Poor
Australia,Melbourne,2018,69,39.16,69.08,31.5,1.79,Industrial Pollution,Moderate
India,Kolkata,2021,200,127.21,221.0,71.93,5.62,Power Plants,Poor
Germany,Frankfurt,2021,43,21.26,48.18,8.54,0.89,Natural Dust,Good
India,Kolkata,2023,471,272.35,458.28,195.16,13.92,Power Plants,Hazardous
Australia,Melbourne,2024,116,82.57,159.26,55.83,4.43,Burning Waste,Poor
Germany,Cologne,2026,64,25.39,34.56,39.64,2.55,Traffic Congestion,Moderate
UK,London,2026,62,30.51,62.84,38.36,2.53,Traffic Congestion,Moderate
UK,Glasgow,2022,76,55.64,93.33,39.78,2.15,Power Plants,Moderate
Brazil,Sao Paulo,2020,86,52.3,84.0,41.97,3.9,Traffic Congestion,Moderate
Australia,Perth,2020,47,27.16,57.11,20.14,1.49,Industrial Pollution,Good
Brazil,Salvador,2023,258,132.08,195.2,145.95,10.64,Traffic Congestion,Very Poor
Canada,Ottawa,2018,118,63.69,110.65,55.64,4.95,Burning Waste,Poor
USA,Chicago,2024,81,48.05,97.09,33.33,2.46,Construction Dust,Moderate
Japan,Osaka,2020,121,59.11,97.78,53.95,3.33,Power Plants,Poor
Canada,Vancouver,2022,112,61.13,94.43,76.42,3.67,Industrial Pollution,Poor
USA,Los Angeles,2024,147,67.87,113.08,94.04,4.1,Industrial Pollution,Poor
Germany,Frankfurt,2024,75,42.38,104.73,26.32,2.27,Construction Dust,Moderate
Brazil,Sao Paulo,2026,197,95.27,125.05,113.25,8.41,Traffic Congestion,Poor
Germany,Munich,2018,123,55.73,99.94,77.81,3.62,Industrial Pollution,Poor
Germany,Berlin,2020,85,61.17,84.83,28.5,3.46,Burning Waste,Moderate
USA,Chicago,2026,85,59.34,81.75,35.31,3.23,Burning Waste,Moderate
Australia,Brisbane,2025,61,29.9,67.67,31.12,1.47,Natural Dust,Moderate
USA,San Francisco,2019,132,48.48,70.07,86.76,5.1,Vehicle Emissions,Poor
UAE,Abu Dhabi,2025,193,88.52,157.99,74.31,5.37,Construction Dust,Poor
UK,Leeds,2025,110,46.03,58.04,67.98,4.63,Traffic Congestion,Poor
UK,Birmingham,2019,87,49.63,96.25,43.44,2.97,Industrial Pollution,Moderate
Canada,Montreal,2025,114,70.96,127.09,48.43,3.77,Power Plants,Poor
UK,Manchester,2020,71,25.44,58.78,36.65,2.17,Natural Dust,Moderate
USA,Houston,2024,169,121.31,216.11,74.77,6.81,Burning Waste,Poor
France,Toulouse,2026,65,28.31,72.72,30.78,1.63,Construction Dust,Moderate
Brazil,Brasilia,2021,176,79.19,105.04,102.92,7.26,Traffic Congestion,Poor
USA,Chicago,2023,48,26.99,60.92,10.23,1.6,Construction Dust,Good
USA,New York,2026,60,33.83,63.29,34.4,2.15,Traffic Congestion,Moderate
Japan,Tokyo,2022,159,99.48,166.85,57.11,7.12,Burning Waste,Poor
Brazil,Fortaleza,2018,235,115.05,198.62,141.67,9.81,Vehicle Emissions,Very Poor
UAE,Ajman,2020,131,52.37,124.13,59.97,3.82,Construction Dust,Poor
UK,Glasgow,2026,87,64.46,85.54,53.96,2.91,Industrial Pollution,Moderate
Brazil,Brasilia,2020,197,132.58,209.96,81.7,6.18,Power Plants,Poor
UK,Manchester,2019,85,53.44,104.94,35.33,2.24,Power Plants,Moderate
Canada,Ottawa,2021,108,56.69,94.03,36.77,4.32,Burning Waste,Poor
Brazil,Salvador,2022,122,57.4,135.02,46.93,4.1,Construction Dust,Poor
UK,London,2024,90,65.41,106.3,45.63,2.46,Power Plants,Moderate
UAE,Abu Dhabi,2024,169,94.2,192.02,60.31,5.21,Construction Dust,Poor
India,Chennai,2026,248,158.78,230.5,97.47,10.87,Burning Waste,Very Poor
Germany,Munich,2025,61,23.62,57.24,41.91,2.13,Vehicle Emissions,Moderate
Germany,Berlin,2019,91,60.7,109.06,32.08,3.14,Power Plants,Moderate
UAE,Dubai,2025,257,188.52,257.71,161.53,7.76,Industrial Pollution,Very Poor
Japan,Osaka,2025,83,45.08,95.61,25.66,2.92,Natural Dust,Moderate
India,Chennai,2022,241,160.21,191.12,99.16,9.72,Burning Waste,Very Poor
Canada,Vancouver,2020,35,18.8,46.19,13.37,1.49,Natural Dust,Good
UAE,Al Ain,2026,265,133.96,225.65,166.88,11.11,Vehicle Emissions,Very Poor
Germany,Cologne,2024,126,75.16,122.63,68.7,3.9,Industrial Pollution,Poor
Germany,Frankfurt,2018,86,32.37,58.02,25.82,3.01,Natural Dust,Moderate
Germany,Hamburg,2025,163,90.29,156.44,104.26,4.67,Industrial Pollution,Poor
Australia,Perth,2022,43,24.83,56.62,17.1,1.17,Power Plants,Good
UAE,Dubai,2023,261,129.52,261.8,108.83,8.18,Construction Dust,Very Poor
USA,Chicago,2026,103,55.85,93.52,40.44,4.75,Burning Waste,Poor
Canada,Calgary,2025,47,24.01,48.93,29.74,1.62,Industrial Pollution,Good
Germany,Cologne,2020,84,42.11,68.38,34.79,2.84,Power Plants,Moderate
UK,Leeds,2022,64,34.61,56.21,41.23,2.77,Vehicle Emissions,Moderate
UAE,Abu Dhabi,2021,254,148.95,245.61,150.42,10.95,Traffic Congestion,Very Poor
Australia,Melbourne,2018,53,25.15,44.53,29.3,2.03,Industrial Pollution,Moderate
UAE,Al Ain,2022,246,154.91,271.49,156.42,10.4,Vehicle Emissions,Very Poor
Canada,Ottawa,2024,86,56.06,91.23,25.34,3.47,Burning Waste,Moderate
Australia,Melbourne,2018,119,59.92,82.8,37.73,3.58,Power Plants,Poor
Canada,Calgary,2021,56,23.43,54.7,40.8,1.97,Vehicle Emissions,Moderate
UAE,Dubai,2023,160,73.59,173.37,66.67,5.06,Construction Dust,Poor
USA,Los Angeles,2026,111,49.06,109.07,50.6,2.91,Natural Dust,Poor
Canada,Calgary,2025,89,51.23,78.76,48.83,3.28,Vehicle Emissions,Moderate
Australia,Perth,2019,70,31.34,58.76,34.88,2.6,Vehicle Emissions,Moderate
Australia,Perth,2020,35,22.72,33.33,15.31,0.85,Power Plants,Good
Canada,Montreal,2022,47,22.64,40.98,21.07,1.44,Power Plants,Good
France,Lyon,2024,161,73.35,110.33,100.38,4.72,Industrial Pollution,Poor
UAE,Ajman,2020,123,74.17,145.11,40.92,3.57,Natural Dust,Poor
France,Nice,2024,101,45.2,86.18,58.19,3.77,Vehicle Emissions,Poor
Japan,Kyoto,2022,137,54.08,93.86,90.17,5.73,Vehicle Emissions,Poor
UAE,Abu Dhabi,2023,182,90.93,120.92,63.76,5.94,Power Plants,Poor
Canada,Montreal,2023,39,21.09,37.69,15.08,1.26,Traffic Congestion,Good
India,Chennai,2021,455,266.2,448.69,180.07,13.68,Construction Dust,Hazardous
Canada,Toronto,2025,85,31.05,53.86,60.55,3.81,Traffic Congestion,Moderate
France,Lyon,2026,119,57.69,98.6,43.89,3.6,Power Plants,Poor
USA,Houston,2019,76,39.72,102.35,24.92,2.46,Construction Dust,Moderate
Canada,Calgary,2026,9,5.61,17.77,6.71,0.1,Natural Dust,Good
Canada,Calgary,2021,95,59.32,96.93,58.2,3.77,Traffic Congestion,Moderate
USA,New York,2023,100,72.75,127.62,44.91,2.84,Power Plants,Moderate
Canada,Ottawa,2024,36,16.31,44.4,24.29,0.91,Natural Dust,Good
Germany,Munich,2021,167,118.9,170.9,67.11,7.43,Burning Waste,Poor
India,Chennai,2025,302,192.02,308.04,172.93,12.9,Vehicle Emissions,Hazardous
UK,London,2025,56,28.85,71.97,20.55,1.61,Natural Dust,Moderate
India,Kolkata,2018,487,221.49,381.11,201.48,14.22,Construction Dust,Hazardous
Canada,Ottawa,2025,109,73.42,88.1,47.3,4.45,Burning Waste,Poor
Germany,Munich,2020,117,65.32,113.34,43.28,3.8,Construction Dust,Poor
